Run_Time,Path_Length,Heading_Changes,Total_Degrees
0.026176561,121.3138908,9,119.2202432
0.006528004,111.0723772,5,108.1786834
0.006412767,89.92343521,4,88.36149281
0.025391786,94.88449734,11,92.99762668
0.010804519,104.4895278,9,102.4726405
0.046131809,74.23241771,8,72.80850195
0.039253719,103.771968,14,101.6198949
0.009352757,90.95394126,3,90.18720795
0.039274506,81.31597444,6,79.3192565
0.013588794,101.823807,9,99.79188764
0.004856709,104.5470321,8,102.645937
0.014578515,117.7895893,9,114.6449562
0.013188748,87.62074426,8,85.55829943
0.004123353,90.51754131,4,88.66989473
0.005859194,94.21891969,4,91.64488192
0.031028165,116.4408709,12,113.2039948
0.014171905,84.14524192,7,83.08393608
0.009233145,77.53213769,6,75.75669123
0.003542429,95.98588932,3,93.9025871
0.003059967,95.82809107,4,94.16584941
0.003529666,48.0416486,1,47.14560579
0.340524312,103.0205331,10,100.6982266
0.005620334,93.34334028,5,92.41840784
0.00905482,57.26119306,2,56.14654082
0.147169813,86.36180211,11,84.14683749
0.003067261,99.90651382,5,98.58933827
0.003228811,73.12452901,3,71.3501606
0.316641541,113.4965581,12,110.7847268
0.013885273,79.25042677,8,76.59301997
0.017596181,101.8879558,8,99.82262271
0.074664884,95.16304965,9,93.80634978
0.039512637,101.0795636,10,97.99541541
0.066269028,123.6569288,10,120.796626
0.014237182,99.93770549,13,98.42609946
0.034231084,110.8937568,10,108.703548
0.04330742,90.38727204,8,88.56315489
0.007672346,90.01983506,5,88.86342132
0.009863664,98.98912209,6,96.69710113
0.049171719,112.3076273,14,108.5204412
0.00780764,84.87248396,7,83.70834572
0.001822269,48.0416486,1,47.14560579
0.010378581,105.5791411,7,103.9841489
0.004038749,90.67961642,6,88.98939751
0.00208228,52.94062808,2,51.87393922
0.005915718,106.4609068,9,103.6778732
0.016477365,88.87773551,9,86.82352387
0.02705834,108.8572679,14,105.6699249
0.026475593,110.5809472,7,107.944893
0.003229905,101.1423937,7,99.35717441
0.004397222,105.1469223,8,102.9016897
0.196438899,100.7614484,8,98.0929389
0.099317114,120.3655606,13,115.895202
0.014192327,91.44644543,9,89.9358662
0.003003808,86.02168196,4,85.01369396
0.016086071,65.37011773,6,63.22473052
0.016787701,131.8325026,10,126.3149059
0.011214775,108.5893659,7,107.1864304
0.227558962,93.96887093,10,90.4518401
0.065708526,88.77430211,7,86.73006926
0.00917735,97.55855084,5,95.58318946
0.10791427,79.0672551,10,76.9175102
0.021459157,89.99152651,7,86.56259949
0.055632258,84.01779659,8,82.43921995
0.014647438,96.50537361,8,93.54917864
0.054075471,115.362751,7,112.5969522
0.011523653,97.41267484,7,95.89003774
0.113862809,99.43807596,8,96.89476093
0.004224732,105.0044166,5,102.9851316
0.087334338,87.21138372,9,85.6092152
0.017126482,121.7450723,7,118.705705
0.14208263,96.34742952,9,94.63909825
0.01196126,110.0538412,10,107.7867932
0.001800753,77.23068764,2,76.2965041
0.02216334,100.402799,9,97.72849869
0.003412606,114.5806409,7,111.8731452
0.007070272,128.5776704,9,122.9282325
0.037603576,86.84620876,7,85.45961316
0.013552327,106.0086975,7,103.2108902
0.0050839,88.47767885,7,86.82787642
0.040097207,102.3489444,8,100.0878927
0.005354487,103.8030868,6,102.1049549
0.004711205,81.95986458,5,80.89871612
0.010444587,105.6162234,7,103.8699353
0.006536756,103.2111894,5,101.2012728
0.031374604,102.4209697,12,100.2721478
0.022546975,79.44806191,8,77.44889226
0.208791089,99.26975316,13,96.09335588
0.003537689,105.6332648,6,103.7819752
0.02112147,128.3702242,11,123.0387594
0.048756357,108.5203132,10,105.8456071
0.025784903,91.66078283,8,89.4213054
0.122523053,86.20143516,6,82.74109238
0.000772741,85.7101699,3,84.76857823
0.137591323,107.6254372,12,104.9157377
0.005141883,114.8169995,9,111.5440103
0.001819351,75.84452615,2,74.77140218
0.019488467,105.2217487,8,102.9958147
0.029026113,104.558554,7,102.3972477
0.034011916,100.9969577,11,99.19376526
0.020145971,70.09931621,6,67.86928422
0.006224961,99.42225137,9,96.27223972
0.002224503,77.44185153,3,75.72214041
0.01736899,114.5437334,8,111.3897388
0.260022478,87.29264501,7,85.53254373
0.000660422,48.0416486,1,47.14560579
0.011822685,74.02525247,9,72.54894762
0.612007355,103.080412,13,100.31941
0.024689791,71.65296632,5,69.42901175
0.016090448,88.19068257,6,85.98851296
0.031071196,111.3282069,8,107.60111
0.03444697,118.3115087,13,113.876079
