RT,PL,HC,DEG,,RT,PL,HC,DEG,,RT,PL,HC,DEG,,RT,PL,HC,DEG,,,RT-CPU,PL-CPU,HC-CPU,DEG-CPU,,RT-GPU,PL-GPU,HC-GPU,DEG-GPU
0.01074654,76.45192634,7,72.55991353,,0.011609347,95.72007747,5,90.31327157,,-0.407982444,-1.358717847,-0.814439036,-1.345061413,,-0.367739175,0.184712765,-1.21913112,0.14508997,,,,,,,,,,,
0.033850014,72.524216,7,67.91229741,,0.013138054,109.8792097,9,103.9256183,,0.038710178,-1.619895153,-0.814439036,-1.664147737,,-0.336607995,0.9730047,0.251916989,0.924341218,,,,,,,,,,,
0.013833494,100.8819286,9,96.26559608,,0.015377507,94.42406763,7,89.82253233,,-0.348297931,0.265781318,-0.039151996,0.282473844,,-0.29100291,0.112559042,-0.483607066,0.116997153,,,,,,,,,,,
0.046984066,96.61195686,9,91.80796975,,0.040165751,125.3583568,13,119.9857596,,0.292649656,-0.018155026,-0.039151996,-0.023568558,,0.21379446,1.834786807,1.722965098,1.843718706,,,,,,,,,,,
0.004478181,87.4057995,6,82.12840479,,0.068775032,109.703539,12,104.9144588,,-0.529177625,-0.630328319,-1.202082556,-0.688127918,,0.796404902,0.963224454,1.355203071,0.980948297,,,,,,,,,,,
0.010430368,78.75842586,6,73.81805651,,0.010624731,60.95800591,4,56.99849168,,-0.414095451,-1.205344691,-1.202082556,-1.258682459,,-0.387790275,-1.750621987,-1.586893148,-1.762045098,,,,,,,,,,,
0.04624378,114.7213633,13,109.8581417,,0.034184758,90.96370715,12,86.3791727,,0.278336644,1.186049351,1.511422085,1.215682461,,0.09199521,-0.08009219,1.355203071,-0.080121121,,,,,,,,,,,
0.042735993,96.85417105,9,93.03656811,,0.022168437,49.45586216,2,46.67045479,,0.210515564,-0.002048734,-0.039151996,0.060781983,,-0.15270979,-2.390989419,-2.322417202,-2.353283023,,,,,,,,,,,
0.006733317,88.73706104,4,84.33632555,,0.0318122,92.05693052,7,87.42991522,,-0.485575844,-0.541804657,-1.977369596,-0.536541105,,0.043679523,-0.019228349,-0.483607066,-0.019970404,,,,,,,,,,,
0.0092419,88.97445837,6,85.06337198,,0.021048893,92.3976042,7,88.5812389,,-0.437073808,-0.526018668,-1.202082556,-0.486625069,,-0.175508616,-0.000261769,-0.483607066,0.045938174,,,,,,,,,,,
0.025908901,101.5406238,8,96.86988429,,0.084238238,81.13805501,7,76.69792007,,-0.114826757,0.309581961,-0.426795516,0.323961802,,1.111303598,-0.627123054,-0.483607066,-0.634333289,,,,,,,,,,,
0.027486111,103.2181731,8,98.82669107,,0.004105118,98.02839899,7,93.84718772,,-0.084332292,0.421132398,-0.426795516,0.458308156,,-0.520558191,0.313225671,-0.483607066,0.347392234,,,,,,,,,,,
0.058497512,104.2349863,10,99.49196915,,0.015373131,65.56241173,8,61.41602711,,0.515255632,0.488746481,0.348491525,0.50398343,,-0.291092024,-1.494277465,-0.115845039,-1.509159239,,,,,,,,,,,
0.060820477,113.2719648,13,108.9493111,,0.006512685,92.41264109,8,88.33881977,,0.560168848,1.089670045,1.511422085,1.153285867,,-0.471529567,0.000575391,-0.115845039,0.032060669,,,,,,,,,,,
0.033829227,105.500939,10,100.8077706,,0.009392138,109.868884,7,104.468189,,0.038308273,0.572927362,0.348491525,0.594320978,,-0.412891275,0.972429829,-0.483607066,0.955401174,,,,,,,,,,,
0.007272668,101.614139,5,97.45183519,,0.027221338,58.74697116,6,55.01020783,,-0.475147797,0.314470433,-1.589726076,0.363916172,,-0.049810563,-1.873718574,-0.851369093,-1.875866227,,,,,,,,,,,
0.034463029,105.8152977,12,100.9104268,,0.005424502,75.95006629,4,71.78893467,,0.050562477,0.59383098,1.123778565,0.601368933,,-0.493689746,-0.915957821,-1.586893148,-0.915352651,,,,,,,,,,,
0.012294575,90.6672209,7,86.66223534,,0.003562485,101.2818739,5,94.74498637,,-0.378052061,-0.41345661,-0.814439036,-0.376853647,,-0.531608579,0.494358808,-1.21913112,0.39878754,,,,,,,,,,,
